Unnamed: 0,序号,零件号,零件名称,车型项目,零件重量(KG),零件尺寸L,零件尺寸W,零件尺寸H,包装等级分类,单车用量,零件质量要求,包装袋情况,干燥剂情况
,447.0,H97A7903004AB,天线电缆,97X-LC-C项目,0.096,450.0,120.0,15.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,448.0,H97A5520130ABBKGA,右B柱下饰板总成,97X-LC-C项目,1,1000.0,500.0,100.0,C,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,,
,449.0,H97D1303047AA,四通到发动机软管,97X-LC-C项目,0.182,250.0,120.0,240.0,C,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,450.0,H97B3101005AC,左前轮罩挡泥板总成,97X-LC-C项目,1.339,986.0,564.0,733.0,B,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,,
,451.0,H97C1311015AA,蓄水瓶衬套,97X-LC-C项目,0.005,30.0,20.0,10.0,C,2.0,1. 核心防护：防老化、防挤压、防变形；2. 材质要求：无裂纹、无异味、无破损；3. 尺寸要求：关键尺寸偏差≤±1.0mm；4. 性能要求：弹性符合设计标准,,
,452.0,H97D1303027AA,蓄水瓶进水软管,97X-LC-C项目,0.465,880.0,490.0,330.0,C,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,453.0,HQ140B0618L1L,六角头螺栓和平垫圈组合件,97X-LC-C项目,0.019,44.0,23.0,23.0,C,1.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,454.0,H97A5701005AB,顶盖前横梁焊接总成,97X-LC-C项目,3.316(±8%),1115.0,290.0,115.0,A,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,防锈袋,有
,455.0,H97X3601800BA,发动机控制器,97X-LC-C项目,0.62,210.0,200.0,46.0,B,1.0,1. 核心防护：防震动、防潮湿、防静电、防冲击；2. 电气要求：绝缘性能良好，无短路风险；3. 外观要求：外壳无破损，接口无变形；4. 存储要求：温度-20~50℃，湿度≤60%,,
,456.0,H97X8403021XA,左翼子板总成,97X-LC-C项目,N,1100.0,210.0,820.0,A,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,防锈袋,有
,457.0,H97A2803029AB,前保险杠左安装座,97X-LC-C项目,0.06,180.0,140.0,60.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,458.0,HQ1840820,六角法兰面螺栓,97X-LC-C项目,0.0129,20.0,8.0,8.0,C,2.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,459.0,5205011-RA01,前雨刮臂端盖,97X-LC-C项目,0.0029,28.0,28.0,10.0,C,2.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,460.0,1109132-RA52,空气滤清器安装橡胶块,97X-LC-C项目,0.006,30.0,30.0,15.0,C,1.0,1. 核心防护：防老化、防挤压、防变形；2. 材质要求：无裂纹、无异味、无破损；3. 尺寸要求：关键尺寸偏差≤±1.0mm；4. 性能要求：弹性符合设计标准,,
,461.0,H97Z3923002AA,车型编码标牌,97X-LC-C项目,0.0052,178.0,37.0,5.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,462.0,H97A5001082AA,左后排安全带导向杆总成,97X-LC-C项目,0.362,250.0,200.0,120.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,463.0,HQY398B02,座垫卡扣,97X-LC-C项目,0.007,44.0,29.0,27.0,C,2.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,464.0,H97A8212004AC,前排安全带高度调节器,97X-LC-C项目,0.248,185.0,35.0,43.0,C,2.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,465.0,H97A6107013AA,左前门窗台内密封条总成,97X-LC-C项目,0.137,800.0,36.0,32.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,466.0,HQY1861050T10L1,六角法兰面螺栓,97X-LC-C项目,0.06,50.0,10.0,10.0,C,2.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,467.0,H97A5520112AC,右后侧围下部安装支架,97X-LC-C项目,0.76,832.0,149.0,89.0,B,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,468.0,H97A6207027AA,左后门防水膜,97X-LC-C项目,0.044,405.0,250.0,10.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,469.0,H97X3724111AB,左前门线束总成,97X-LC-C项目,N,1835.0,80.0,50.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,470.0,HQ33810T10L1,非金属嵌件六角法兰面锁紧螺母,97X-LC-C项目,N,18.0,30.0,30.0,C,8.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,471.0,H97Y1300003AB,三通比例阀安装支架,97X-LC-C项目,0.11,102.0,102.0,11.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,472.0,Q673C27F62B,B型钢带式弹性软管夹箍,97X-LC-C项目,0.009,39.0,12.0,23.0,C,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,473.0,HQ32206L,六角螺母和锥形弹性垫圈组合件,97X-LC-C项目,0.0046,20.0,20.0,10.0,C,4.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,474.0,H97A6208010AA,右后门外开手柄壳体,97X-LC-C项目,0.024,220.0,40.0,10.0,C,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,,
,475.0,H97D1303066BA,低温散热器出水管后段,97X-LC-C项目,0.244,310.0,250.0,240.0,C,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,476.0,H97A5517010AB,空调进气道风管总成,97X-LC-C项目,0.631,350.0,400.0,150.0,C,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,477.0,H97A5511910BCBEGA,左前门槛迎宾护板合件,97X-LC-C项目,0.525,872.0,309.0,122.0,B,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,,
,478.0,H97A8402014AA,发动机罩后密封条总成,97X-LC-C项目,0.454,1175.0,18.0,34.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,479.0,H97Y1201010AA,后消声器总成,97X-LC-C项目,9.323,1280.0,1018.0,354.0,B,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,480.0,H97C3609006AG,手机无线充电控制器,97X-LC-C项目,0.257,154.0,36.0,78.0,C,1.0,1. 核心防护：防震动、防潮湿、防静电、防冲击；2. 电气要求：绝缘性能良好，无短路风险；3. 外观要求：外壳无破损，接口无变形；4. 存储要求：温度-20~50℃，湿度≤60%,,
,481.0,H97A8404014AA,加油口盖排水管总成,97X-LC-C项目,0.03,650.0,8.0,8.0,C,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,482.0,H97A3404002AB,转向下轴,97X-LC-C项目,1.73,260.0,200.0,150.0,B,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,483.0,H97A6204011AA,左后门玻璃升降器总成,97X-LC-C项目,1.5,474.0,344.0,67.0,B,1.0,1. 核心防护：防冲击、防划伤、防破碎；2. 外观要求：无气泡、无划痕、无杂质；,,
,484.0,H97Y2803005ABBK01,前保险杠总成,97X-LC-C项目,N,1910.0,690.0,760.0,B,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,485.0,H97D5006186AA,左前车门上装饰条,97X-LC-C项目,0.013,160.0,30.0,5.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,486.0,HQ1840816L1,六角法兰面螺栓,97X-LC-C项目,0.0116,125.0,33.0,33.0,C,4.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,487.0,H97A6104011AA,左前门导轨总成,97X-LC-C项目,0.214,510.0,150.0,110.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,488.0,H97A6107014AA,右前门窗台内密封条总成,97X-LC-C项目,0.137,800.0,36.0,32.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,489.0,H97D1001007AA,发动机左悬置支架,97X-LC-C项目,0.616,210.0,100.0,50.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,490.0,H97A5533003AA,左后吹足管道中段总成,97X-LC-C项目,0.195,323.0,223.0,36.0,C,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,491.0,H97A8404011AA,排水管护套,97X-LC-C项目,0.0015,13.0,5.0,5.0,C,2.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,492.0,H97C8212012BA,后排双带扣组件,97X-LC-C项目,0.364,168.0,80.0,60.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,493.0,H97D3730106AA,车载充电机搭铁线,97X-LC-C项目,0.13,280.0,25.0,25.0,C,1.0,1. 核心防护：防震动、防潮湿、防静电、防冲击；2. 电气要求：绝缘性能良好，无短路风险；3. 外观要求：外壳无破损，接口无变形；4. 存储要求：温度-20~50℃，湿度≤60%,,
,494.0,H97X2312007XA,前底盘模块总成,97X-LC-C项目,0,0.0,0.0,0.0,A,1.0,1. 核心防护：防震动、防潮湿、防静电、防冲击；2. 电气要求：绝缘性能良好，无短路风险；3. 外观要求：外壳无破损，接口无变形；4. 存储要求：温度-20~50℃，湿度≤60%,防锈袋,有
,495.0,H97A3602022AD,右前轮速传感器总成,97X-LC-C项目,0.123,590.0,450.0,230.0,C,1.0,1. 核心防护：防震动、防潮湿、防静电、防冲击；2. 电气要求：绝缘性能良好，无短路风险；3. 外观要求：外壳无破损，接口无变形；4. 存储要求：温度-20~50℃，湿度≤60%,,
,496.0,HQY18516110T10L1,六角法兰面螺栓,97X-LC-C项目,0.2,125.0,33.0,33.0,C,2.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,497.0,H97A5016004AA,堵盖Φ25,97X-LC-C项目,0.0015,34.0,34.0,7.0,C,18.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,498.0,H97A5301004AA,前围下板总成,97X-LC-C项目,5.122(±8%),1204.0,220.0,268.0,A,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,防锈袋,有
,499.0,H97E5103034AA,右纵梁前段外板焊接总成,97X-LC-C项目,5.856(±8%),1100.0,500.0,300.0,A,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,防锈袋,有
,500.0,H97A5520114AB,右后侧围安装支架,97X-LC-C项目,0.115,323.0,115.0,53.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,501.0,H97A6309001AA,车门上背门限位器,97X-LC-C项目,0.045,72.0,57.0,29.0,C,2.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,502.0,H97D6900900AEUG04,前排主驾驶员座椅合件,97X-LC-C项目,N,600.0,500.0,500.0,A,1.0,1. 核心防护：防污损、防变形、防划伤；2. 结构要求：骨架无变形，面料无破损；3. 功能要求：调节机构灵活，无卡滞；4. 外观要求：面料无污渍，缝线整齐,,
,503.0,H97A5520145ADBKAA,左C柱下饰板总成,97X-LC-C项目,0.84,856.0,238.0,220.0,B,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,,
,504.0,H97D9246002BA,电池包流出管总成,97X-LC-C项目,0.274,260.0,120.0,70.0,C,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,505.0,H97A1104007AB,燃油加油管,97X-LC-C项目,1.037,940.0,160.0,200.0,C,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,506.0,H97A8402019AA,发动机罩前密封条总成,97X-LC-C项目,0.18,1937.0,23.0,17.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,507.0,H97A3716012AB,右后组合灯固定侧侧板,97X-LC-C项目,0.08,140.0,105.0,75.0,C,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,,
,508.0,H97D6207007AA,左后门窗台外密封条总成,97X-LC-C项目,0.371,926.0,32.0,30.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,509.0,H97A5515005ABJK05,后背门上装饰板总成,97X-LC-C项目,0.35,754.0,104.0,68.0,C,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,,
,510.0,H97A8404019AA,充电口盖排水管,97X-LC-C项目,0.03,650.0,8.0,8.0,C,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,511.0,H97A2803031AB,前保险杠右安装座,97X-LC-C项目,0.06,200.0,50.0,30.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,512.0,H97D3703004AA,蓄电池排气管,97X-LC-C项目,0.02,64.0,100.0,137.0,C,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,513.0,H97A5301058AA,前防撞梁连接板（右）,97X-LC-C项目,0.321(±8%),275.0,155.0,25.0,B,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,,
,514.0,H97A2800010CN,车架右前段总成,97X-LC-C项目,N,2440.0,1440.0,1010.0,A,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,防锈袋,有
,515.0,HQ32010T10L1,六角法兰面螺母,97X-LC-C项目,0.0117,22.0,22.0,10.0,C,3.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,516.0,H97A6204012AA,右后门玻璃升降器总成,97X-LC-C项目,1.5,474.0,344.0,67.0,B,1.0,1. 核心防护：防冲击、防划伤、防破碎；2. 外观要求：无气泡、无划痕、无杂质；,,
,517.0,HQ1840630L1,六角法兰面螺栓,97X-LC-C项目,0.0087,30.0,6.0,6.0,C,5.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,518.0,HQ2570820T8,内六花形半沉头螺钉,97X-LC-C项目,0.01,20.0,20.0,20.0,C,6.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,519.0,H97A5020020AB,前机舱封板右加强板总成,97X-LC-C项目,3.346(±8%),870.0,450.0,150.0,A,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,防锈袋,有
,520.0,H97A5501129AA,仪表板前端毛毡,97X-LC-C项目,0.001,6.0,4.0,1.0,C,5.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,,
,521.0,HQ146B0630L2L,六角头螺栓、弹簧垫圈和平垫圈组合件,97X-LC-C项目,0.0078,40.0,24.0,24.0,C,8.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,522.0,Q2714816,十字槽盘头自攻螺钉-C型,97X-LC-C项目,0.01,20.0,10.0,10.0,C,28.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,523.0,Q220B4813F38A,十字槽盘头自攻螺钉与平垫圈组合件,97X-LC-C项目,0.01,10.0,10.0,17.0,C,6.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,524.0,HQY18610110T10L1D,带导向六角法兰面螺栓,97X-LC-C项目,0.081,110.0,10.0,10.0,C,2.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,525.0,HQ140B0645N1L,六角头螺栓和平垫圈组合件,97X-LC-C项目,0.0111,40.0,24.0,24.0,C,8.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,526.0,H97A2804023AA,后保险杠左上安装座,97X-LC-C项目,0.271,175.0,220.0,190.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,527.0,H97A5520113AB,左后侧围安装支架,97X-LC-C项目,0.05,550.0,360.0,160.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,528.0,HQ1840516,六角法兰面螺栓,97X-LC-C项目,0.2,125.0,33.0,33.0,C,4.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,529.0,H97A6107026AA,左前门前防水膜,97X-LC-C项目,0.018,170.0,155.0,10.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,530.0,H97E6301075AA,后背门左侧扰流板总成,97X-LC-C项目,0.211,301.0,139.0,27.0,B,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,,
,531.0,H56A1104013AA,燃油管单管夹,97X-LC-C项目,0.005,39.0,26.0,12.0,C,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,532.0,H97D3615818DA,水加热PTC总成,97X-LC-C项目,3.75,280.0,180.0,80.0,B,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,533.0,H97A5515023AB,遮物帘总成,97X-LC-C项目,1.73,1202.0,253.0,44.0,B,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,534.0,H97A3104003AB,左后轮毂包下消声垫,97X-LC-C项目,0.46,362.0,213.0,351.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,535.0,H97A5533008AB,右后吹足管道后段,97X-LC-C项目,0.137,327.0,236.0,71.0,C,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,536.0,H97C5501010AABEGA,中护板总成,97X-LC-C项目,0.185,471.0,239.0,193.0,B,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,,
,537.0,H97D5206010AA,右后角窗玻璃总成,97X-LC-C项目,1.2275,430.0,395.0,4.0,B,1.0,1. 核心防护：防冲击、防划伤、防破碎；2. 外观要求：无气泡、无划痕、无杂质；,,
,538.0,H97A8405034AB,风窗流水槽盖板右密封件,97X-LC-C项目,N,310.0,100.0,150.0,C,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,,
,539.0,HQ1860816L,六角法兰面螺栓,97X-LC-C项目,0.018,16.0,8.0,8.0,C,2.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,540.0,H97A5013001AA,左后侧围吸音棉,97X-LC-C项目,0.06,343.0,150.0,312.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,541.0,H97A5001045AB,前排左后拉手支架组件,97X-LC-C项目,0.094（±10%）,102.0,90.0,40.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,542.0,H97A3605868AE,隐藏式门把手控制器,97X-LC-C项目,0.414,94.0,68.0,20.0,C,4.0,1. 核心防护：防震动、防潮湿、防静电、防冲击；2. 电气要求：绝缘性能良好，无短路风险；3. 外观要求：外壳无破损，接口无变形；4. 存储要求：温度-20~50℃，湿度≤60%,,
,543.0,H97Z2309001AC,左前驱动轴总成,97X-LC-C项目,8.03,695.0,110.0,110.0,B,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,防锈袋,无
,544.0,H97X5200900AA,后风窗玻璃总成合件,97X-LC-C项目,5.96,1321.0,503.0,4.0,A,1.0,1. 核心防护：防冲击、防划伤、防破碎；2. 外观要求：无气泡、无划痕、无杂质；,PE袋,无
